sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class
Male,,White,Never-married,Bachelors,United-States,State-gov,Adm-clerical,
Male,50.0,White,Married-civ-spouse,Bachelors,United-States,Self-emp-not-inc,Exec-managerial,<=50K
Male,38.0,White,Divorced,HS-grad,United-States,Private,Handlers-cleaners,<=50K
Male,53.0,Black,Married-civ-spouse,11th,United-States,Private,Handlers-cleaners,<=50K
Female,28.0,Black,Married-civ-spouse,Bachelors,Cuba,Private,Prof-specialty,<=50K
Female,37.0,White,Married-civ-spouse,Masters,United-States,Private,Exec-managerial,<=50K
Female,49.0,Black,Married-spouse-absent,9th,Jamaica,Private,Other-service,<=50K
Male,52.0,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Exec-managerial,>50K
Female,31.0,White,Never-married,Masters,United-States,Private,Prof-specialty,>50K
Male,42.0,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
Male,37.0,Black,Married-civ-spouse,Some-college,United-States,Private,Exec-managerial,
Male,30.0,Asian-Pac-Islander,Married-civ-spouse,Bachelors,India,State-gov,Prof-specialty,>50K
Female,23.0,White,Never-married,Bachelors,United-States,Private,Adm-clerical,<=50K
Male,32.0,Black,Never-married,Assoc-acdm,United-States,Private,Sales,<=50K
Male,34.0,Amer-Indian-Eskimo,Married-civ-spouse,7th-8th,Mexico,Private,Transport-moving,<=50K
Male,25.0,White,Never-married,HS-grad,United-States,Self-emp-not-inc,Farming-fishing,<=50K
Male,32.0,White,Never-married,HS-grad,United-States,Private,Machine-op-inspct,<=50K
Male,38.0,White,Married-civ-spouse,11th,United-States,Private,Sales,<=50K
Female,43.0,White,Divorced,Masters,United-States,Self-emp-not-inc,Exec-managerial,>50K
Male,40.0,White,Married-civ-spouse,Doctorate,United-States,Private,Prof-specialty,>50K
Female,54.0,Black,Separated,HS-grad,United-States,Private,Other-service,
Male,35.0,Black,Married-civ-spouse,9th,United-States,Federal-gov,Farming-fishing,<=50K
Male,43.0,White,Married-civ-spouse,11th,United-States,Private,Transport-moving,<=50K
Female,59.0,White,Divorced,HS-grad,United-States,Private,Tech-support,<=50K
Male,56.0,White,Married-civ-spouse,Bachelors,United-States,Local-gov,Tech-support,>50K
Male,19.0,White,Never-married,HS-grad,United-States,Private,Craft-repair,<=50K
Male,39.0,White,Divorced,HS-grad,United-States,Private,Exec-managerial,<=50K
Male,49.0,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K
Male,23.0,White,Never-married,Assoc-acdm,United-States,Local-gov,Protective-serv,<=50K
Male,20.0,Black,Never-married,Some-college,United-States,Private,Sales,<=50K
Male,,White,Divorced,Bachelors,United-States,Private,Exec-managerial,
Male,30.0,White,Married-civ-spouse,Some-college,United-States,Federal-gov,Adm-clerical,<=50K
Male,22.0,Black,Married-civ-spouse,Some-college,United-States,State-gov,Other-service,<=50K
Male,48.0,White,Never-married,11th,Puerto-Rico,Private,Machine-op-inspct,<=50K
Male,21.0,White,Never-married,Some-college,United-States,Private,Machine-op-inspct,<=50K
